Collection_Date,Season,Species_PCR_GR,Sequence_Results,Latitude,Longitude,Site_Name
7/21/2021,Summer 2021,Cx. pipiens,House Finch,40.00724,-83.1397,Walcutt Run
7/21/2021,Summer 2021,Cx. pipiens,House Sparrow,40.00041,-83.0306,Storage Site
7/23/2021,Summer 2021,Cx. restuans,Northern Cardinal,40.0463,-83.0165,Overbrook
7/23/2021,Summer 2021,Cx. pipiens,House Sparrow,40.07339,-82.9837,Woodward Nature Preserve
8/25/2021,Summer 2021,Cx. restuans,Northern Cardinal,40.01931,-82.9994,Glen Echo
8/25/2021,Summer 2021,Cx. pipiens,House Sparrow,40.00724,-83.1397,Walcutt Run
9/9/2021,Summer 2021,Cx. pipiens,Gray Catbird,40.00041,-83.0306,Storage Site
9/9/2021,Summer 2021,Cx. restuans,Gray Catbird,40.00041,-83.0306,Storage Site
10/4/2021,Fall 2021,Cx. pipiens,House Sparrow,40.00724,-83.1397,Walcutt Run
10/11/2021,Fall 2021,Cx. restuans,Northern Cardinal,40.00041,-83.0306,Storage Site
10/12/2021,Fall 2021,Cx. restuans,Northern Cardinal,40.00041,-83.0306,Storage Site
10/13/2021,Fall 2021,Cx. restuans,Northern Cardinal,40.00041,-83.0306,Storage Site
10/14/2021,Fall 2021,Cx. restuans,Northern Cardinal,40.00041,-83.0306,Storage Site
11/4/2021,Fall 2021,Cx. pipiens,Northern Cardinal,40.00724,-83.1397,Walcutt Run
